scan_number,target_domain,start_time,end_time,latency_seconds,status,verdict
1,example.com,2026-08-11T20:15:15.159157+00:00,2026-08-11T20:15:18.083264+00:00,2.924076,success,Low Risk
2,www.wikipedia.org,2026-08-11T20:15:18.083459+00:00,2026-08-11T20:15:20.754250+00:00,2.670778,error,
3,www.python.org,2026-08-11T20:15:20.754331+00:00,2026-08-11T20:15:25.749542+00:00,4.995195,success,Low Risk
4,www.iana.org,2026-08-11T20:15:25.749696+00:00,2026-08-11T20:15:31.096677+00:00,5.346972,success,Low Risk
5,example.com,2026-08-11T20:15:31.096772+00:00,2026-08-11T20:15:33.878040+00:00,2.781261,success,Low Risk
6,www.wikipedia.org,2026-08-11T20:15:33.878100+00:00,2026-08-11T20:15:36.257807+00:00,2.379699,error,
7,www.python.org,2026-08-11T20:15:36.257847+00:00,2026-08-11T20:15:40.305869+00:00,4.048017,success,Low Risk
8,www.iana.org,2026-08-11T20:15:40.305927+00:00,2026-08-11T20:15:44.185362+00:00,3.879427,success,Low Risk
9,example.com,2026-08-11T20:15:44.185415+00:00,2026-08-11T20:15:46.974372+00:00,2.788951,success,Low Risk
10,www.wikipedia.org,2026-08-11T20:15:46.974412+00:00,2026-08-11T20:15:49.303144+00:00,2.328726,error,
11,www.python.org,2026-08-11T20:15:49.303184+00:00,2026-08-11T20:15:53.307074+00:00,4.003884,success,Low Risk
12,www.iana.org,2026-08-11T20:15:53.307151+00:00,2026-08-11T20:15:57.188493+00:00,3.881332,success,Low Risk
13,example.com,2026-08-11T20:15:57.188553+00:00,2026-08-11T20:16:00.131027+00:00,2.942466,success,Low Risk
14,www.wikipedia.org,2026-08-11T20:16:00.131085+00:00,2026-08-11T20:16:02.492201+00:00,2.361109,error,
15,www.python.org,2026-08-11T20:16:02.492244+00:00,2026-08-11T20:16:06.511115+00:00,4.018863,success,Low Risk
16,www.iana.org,2026-08-11T20:16:06.511184+00:00,2026-08-11T20:16:10.453611+00:00,3.942414,success,Low Risk
17,example.com,2026-08-11T20:16:10.453721+00:00,2026-08-11T20:16:13.273638+00:00,2.819908,success,Low Risk
18,www.wikipedia.org,2026-08-11T20:16:13.273719+00:00,2026-08-11T20:16:15.562646+00:00,2.288919,error,
19,www.python.org,2026-08-11T20:16:15.562709+00:00,2026-08-11T20:16:19.706240+00:00,4.14352,success,Low Risk
20,www.iana.org,2026-08-11T20:16:19.706323+00:00,2026-08-11T20:16:23.379537+00:00,3.673206,success,Low Risk
21,example.com,2026-08-11T20:16:23.379599+00:00,2026-08-11T20:16:26.402732+00:00,3.023123,success,Low Risk
22,www.wikipedia.org,2026-08-11T20:16:26.402805+00:00,2026-08-11T20:16:28.776104+00:00,2.37329,error,
23,www.python.org,2026-08-11T20:16:28.776159+00:00,2026-08-11T20:16:33.872278+00:00,5.09611,success,Low Risk
24,www.iana.org,2026-08-11T20:16:33.872367+00:00,2026-08-11T20:16:37.716591+00:00,3.844214,success,Low Risk
25,example.com,2026-08-11T20:16:37.716634+00:00,2026-08-11T20:16:40.515753+00:00,2.799112,success,Low Risk
26,www.wikipedia.org,2026-08-11T20:16:40.515820+00:00,2026-08-11T20:16:42.946779+00:00,2.430952,error,
27,www.python.org,2026-08-11T20:16:42.946819+00:00,2026-08-11T20:16:47.398253+00:00,4.451428,success,Low Risk
28,www.iana.org,2026-08-11T20:16:47.398322+00:00,2026-08-11T20:16:51.343326+00:00,3.944997,success,Low Risk
29,example.com,2026-08-11T20:16:51.343386+00:00,2026-08-11T20:16:54.489037+00:00,3.145636,success,Low Risk
30,www.wikipedia.org,2026-08-11T20:16:54.489140+00:00,2026-08-11T20:16:57.098960+00:00,2.609814,error,
31,www.python.org,2026-08-11T20:16:57.098998+00:00,2026-08-11T20:17:01.351229+00:00,4.252226,success,Low Risk
32,www.iana.org,2026-08-11T20:17:01.351285+00:00,2026-08-11T20:17:05.572132+00:00,4.220841,success,Low Risk
33,example.com,2026-08-11T20:17:05.572194+00:00,2026-08-11T20:17:08.401300+00:00,2.829098,success,Low Risk
34,www.wikipedia.org,2026-08-11T20:17:08.401377+00:00,2026-08-11T20:17:10.935520+00:00,2.534135,error,
35,www.python.org,2026-08-11T20:17:10.935561+00:00,2026-08-11T20:17:15.429095+00:00,4.493529,success,Low Risk
36,www.iana.org,2026-08-11T20:17:15.429134+00:00,2026-08-11T20:17:19.359890+00:00,3.930751,success,Low Risk
37,example.com,2026-08-11T20:17:19.359949+00:00,2026-08-11T20:17:22.562073+00:00,3.202112,success,Low Risk
38,www.wikipedia.org,2026-08-11T20:17:22.562160+00:00,2026-08-11T20:17:25.122154+00:00,2.559987,error,
39,www.python.org,2026-08-11T20:17:25.122196+00:00,2026-08-11T20:17:29.408483+00:00,4.286279,success,Low Risk
40,www.iana.org,2026-08-11T20:17:29.408579+00:00,2026-08-11T20:17:33.360460+00:00,3.951873,success,Low Risk
41,example.com,2026-08-11T20:17:33.360515+00:00,2026-08-11T20:17:36.936981+00:00,3.576457,success,Low Risk
42,www.wikipedia.org,2026-08-11T20:17:36.937068+00:00,2026-08-11T20:17:39.351149+00:00,2.414072,error,
