scan_number,target_domain,start_time,end_time,latency_seconds,status,verdict
1,example.com,2026-08-11T20:29:05.985184+00:00,2026-08-11T20:29:09.956428+00:00,3.971224,success,Low Risk
2,www.wikipedia.org,2026-08-11T20:29:09.956494+00:00,2026-08-11T20:29:13.833849+00:00,3.877346,success,Low Risk
3,www.python.org,2026-08-11T20:29:13.833911+00:00,2026-08-11T20:29:18.256917+00:00,4.422991,success,Low Risk
4,www.iana.org,2026-08-11T20:29:18.257004+00:00,2026-08-11T20:29:22.976683+00:00,4.719662,success,Low Risk
5,example.com,2026-08-11T20:29:22.976802+00:00,2026-08-11T20:29:27.021575+00:00,4.044757,success,Low Risk
6,www.wikipedia.org,2026-08-11T20:29:27.021648+00:00,2026-08-11T20:29:30.736297+00:00,3.714637,success,Low Risk
7,www.python.org,2026-08-11T20:29:30.736388+00:00,2026-08-11T20:29:34.915797+00:00,4.179395,success,Low Risk
8,www.iana.org,2026-08-11T20:29:34.915873+00:00,2026-08-11T20:29:39.296105+00:00,4.380219,success,Low Risk
9,example.com,2026-08-11T20:29:39.296182+00:00,2026-08-11T20:29:42.380006+00:00,3.083817,success,Low Risk
10,www.wikipedia.org,2026-08-11T20:29:42.380040+00:00,2026-08-11T20:29:46.221032+00:00,3.840986,success,Low Risk
11,www.python.org,2026-08-11T20:29:46.221106+00:00,2026-08-11T20:29:50.701807+00:00,4.480692,success,Low Risk
12,www.iana.org,2026-08-11T20:29:50.701843+00:00,2026-08-11T20:29:55.420264+00:00,4.71841,success,Low Risk
13,example.com,2026-08-11T20:29:55.420334+00:00,2026-08-11T20:29:58.434944+00:00,3.014603,success,Low Risk
14,www.wikipedia.org,2026-08-11T20:29:58.435001+00:00,2026-08-11T20:30:02.178369+00:00,3.74336,success,Low Risk
15,www.python.org,2026-08-11T20:30:02.178408+00:00,2026-08-11T20:30:06.395885+00:00,4.217469,success,Low Risk
16,www.iana.org,2026-08-11T20:30:06.395947+00:00,2026-08-11T20:30:10.894895+00:00,4.498942,success,Low Risk
17,example.com,2026-08-11T20:30:10.894927+00:00,2026-08-11T20:30:13.835115+00:00,2.940182,success,Low Risk
18,www.wikipedia.org,2026-08-11T20:30:13.835171+00:00,2026-08-11T20:30:17.535246+00:00,3.700065,success,Low Risk
19,www.python.org,2026-08-11T20:30:17.535322+00:00,2026-08-11T20:30:22.463032+00:00,4.9277,success,Low Risk
20,www.iana.org,2026-08-11T20:30:22.463090+00:00,2026-08-11T20:30:26.792391+00:00,4.329292,success,Low Risk
21,example.com,2026-08-11T20:30:26.792441+00:00,2026-08-11T20:30:30.010077+00:00,3.217628,success,Low Risk
22,www.wikipedia.org,2026-08-11T20:30:30.010142+00:00,2026-08-11T20:30:33.636542+00:00,3.62639,success,Low Risk
23,www.python.org,2026-08-11T20:30:33.636603+00:00,2026-08-11T20:30:37.920226+00:00,4.283615,success,Low Risk
