threshold,tp,tn,fp,fn,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
1,58538,83977,10418,12123,0.8634342283830942,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
2,58538,83977,10418,12123,0.8634342283830942,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
3,58538,83977,10418,12123,0.8634342283830942,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
4,58538,83977,10418,12123,0.8634342283830942,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
5,58538,83977,10418,12123,0.8634342283830942,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
6,58538,83977,10418,12123,0.8634342283830942,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
7,58538,83977,10418,12123,0.8634342283830942,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
8,58538,83977,10418,12123,0.8634342283830942,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
9,58538,83977,10418,12123,0.8634342283830942,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
10,58538,83977,10418,12123,0.8634342283830942,0.8489181507047973,0.8284343555851177,0.8385511792976501,0.8896339848508925,0.11036601514910747,0.1715656444148823,0.8590341702180051
11,48647,92939,1456,22014,0.857805835595192,0.9709398638804063,0.688456149785596,0.8056540028485311,0.9845754542083797,0.01542454579162032,0.311543850214404,0.8365158019969878
12,48647,92939,1456,22014,0.857805835595192,0.9709398638804063,0.688456149785596,0.8056540028485311,0.9845754542083797,0.01542454579162032,0.311543850214404,0.8365158019969878
13,48647,92939,1456,22014,0.857805835595192,0.9709398638804063,0.688456149785596,0.8056540028485311,0.9845754542083797,0.01542454579162032,0.311543850214404,0.8365158019969878
14,48647,92939,1456,22014,0.857805835595192,0.9709398638804063,0.688456149785596,0.8056540028485311,0.9845754542083797,0.01542454579162032,0.311543850214404,0.8365158019969878
15,48647,92939,1456,22014,0.857805835595192,0.9709398638804063,0.688456149785596,0.8056540028485311,0.9845754542083797,0.01542454579162032,0.311543850214404,0.8365158019969878
