threshold,precision,recall,f1,false_positive_rate,specificity
0,0.42810492164804176,1.0,0.5995426738730179,1.0,0.0
5,0.8130714396404773,0.8316211798504136,0.822241702702835,0.14312198739340007,0.8568780126065999
10,0.8130714396404773,0.8316211798504136,0.822241702702835,0.14312198739340007,0.8568780126065999
15,0.9098588620591064,0.6935459903908069,0.7871112085490554,0.0514349276974416,0.9485650723025584
20,0.8435448577680525,0.3437020159492793,0.48840401196551114,0.047719688542825364,0.9522803114571746
25,0.8432191226742517,0.3201050076774481,0.4640472189909956,0.044553207267334076,0.955446792732666
30,0.741999612102405,0.1515974045272178,0.2517582607408138,0.039458657767890246,0.9605413422321097
35,0.7300152361604876,0.14239437317351034,0.23830563269366273,0.039421579532814235,0.9605784204671858
40,0.6974733637747337,0.11348754272128386,0.19521172360909944,0.03684835001853912,0.9631516499814609
45,0.9245543733591267,0.06628361979295656,0.12369895176646763,0.0040489432703003335,0.9959510567296996
50,0.9170225747406956,0.05955718460547823,0.1118501223244435,0.004034111976269929,0.9959658880237301
55,0.9821930646672915,0.04152756451533013,0.07968597036487887,0.0005635891731553578,0.9994364108268446
60,0.983304794520548,0.02275496557531329,0.04448059178358072,0.00028921023359288096,0.9997107897664071
65,0.9842958459979737,0.019248105403932833,0.03775784840505641,0.00022988505747126436,0.9997701149425288
70,0.9900744416873449,0.011857942443905096,0.02343520566987098,8.898776418242492e-05,0.9999110122358176
75,0.9910554561717353,0.010976274208727524,0.021712079793852816,7.415647015202076e-05,0.9999258435298479
80,1.0,0.009064341968398632,0.01796583546043589,0.0,1.0
85,1.0,0.007915201347268315,0.015706085862557007,0.0,1.0
90,1.0,0.006250928723562336,0.012424194691659448,0.0,1.0
95,1.0,0.005329634949725098,0.010602761053575474,0.0,1.0
100,1.0,0.004725345485165189,0.009406243221391808,0.0,1.0
